Data;Czas;Kierunek;Przewoznik;Rejs;Status;;Lotnisko wylotowe
2025-04-03;13:05;Oslo gardermoen;Norwegian;DY1053;0;;"GDN"
2025-04-03;13:05;Dublin;RYANAIR;FR1909;0;;"GDN"
2025-04-03;13:10;Wenecja treviso;RYANAIR;FR1969;0;;"GDN"
2025-04-03;13:10;Aarhus;RYANAIR;FR4970;0;;"GDN"
2025-04-03;13:15;Monachium;LUFTHANSA;LH1643;0;;"GDN"
2025-04-03;13:25;Malaga;RYANAIR;FR9918;0;;"GDN"
2025-04-03;13:30;Połąga;;RR9395;0;;"GDN"
2025-04-03;13:35;Dusseldorf;EUROWINGS;EW9737;0;;"GDN"
2025-04-03;13:35;Madera;WIZZ AIR;W61715;0;;"GDN"
2025-04-03;13:45;Reykjavik keflavik;;FI5812;0;;"GDN"
2025-04-03;14:20;Amsterdam;KLM;KL1306;0;;"GDN"
2025-04-03;14:30;Frankfurt;LUFTHANSA;LH1379;0;;"GDN"
2025-04-03;14:35;Stavanger;WIZZ AIR;W61747;0;;"GDN"
2025-04-03;14:50;Warszawa;LOT;LO3838;0;;"GDN"
2025-04-03;14:50;Hurghada;;QU5821;0;;"GDN"
2025-04-03;15:10;Alicante;RYANAIR;FR1425;0;;"GDN"
2025-04-03;15:40;Kopenhaga;SAS;SK760;0;;"GDN"
2025-04-03;15:45;Akureyri;;FI5813;0;;"GDN"
2025-04-03;16:05;Hurghada;;ENT7705;0;;"GDN"
2025-04-03;16:05;Oslo gardermoen;WIZZ AIR;W61783;0;;"GDN"
2025-04-03;16:30;Billund;;RC9466;0;;"GDN"
2025-04-03;16:45;Hamburg;RYANAIR;FR6119;0;;"GDN"
2025-04-03;16:50;Reykjavik keflavik;WIZZ AIR;W61773;0;;"GDN"
2025-04-03;17:15;Londyn stansted;RYANAIR;FR532;0;;"GDN"
2025-04-03;18:00;Praga;RYANAIR;FR1920;0;;"GDN"
2025-04-03;18:15;Amsterdam;KLM;KL1308;0;;"GDN"
2025-04-03;18:20;Warszawa;LOT;LO3816;0;;"GDN"
2025-04-03;18:30;Barcelona el prat;WIZZ AIR;W61705;0;;"GDN"
2025-04-03;18:55;Alicante;WIZZ AIR;W61707;0;;"GDN"
2025-04-03;19:15;Londyn luton;WIZZ AIR;W61607;0;;"GDN"
2025-04-03;19:25;Kopenhaga;SAS;SK758;0;;"GDN"
2025-04-03;20:10;Pafos;RYANAIR;FR3553;0;;"GDN"
2025-04-03;20:10;Oslo torp;RYANAIR;FR4942;0;;"GDN"
2025-04-03;20:20;Kopenhaga;WIZZ AIR;W61741;0;;"GDN"
2025-04-03;21:25;Warszawa;LOT;LO3826;0;;"GDN"
2025-04-03;21:45;Mediolan bergamo;RYANAIR;FR3279;0;;"GDN"
2025-04-03;21:50;Oslo gardermoen;Norwegian;DY1055;0;;"GDN"
2025-04-03;22:10;Kopenhaga;RYANAIR;FR6844;0;;"GDN"
2025-04-03;22:40;Sztokholm arlanda;RYANAIR;FR4679;0;;"GDN"
2025-04-03;23:00;Manchester;RYANAIR;FR4095;0;;"GDN"
2025-04-04;05:40;Warszawa;LOT;LO3828;0;;"GDN"
2025-04-04;05:45;Praga;RYANAIR;FR1920;0;;"GDN"
2025-04-04;05:45;Cork;RYANAIR;FR8782;0;;"GDN"
