Data;Czas;Kierunek;Przewoznik;Rejs;Status;;Lotnisko wylotowe
2025-04-03;13:20;Oslo Gardermoen;RYANAIR;FR7100;0;;"KTW"
2025-04-03;13:30;Dżerba;NOUVELAIR;BJ7693;0;;"KTW"
2025-04-03;13:30;Dortmund;WIZZ AIR;W61093;0;;"KTW"
2025-04-03;14:30;Hurghada;SKYLINE EXPRESS AIRLINES;QU9121;0;;"KTW"
2025-04-03;14:45;Frankfurt;AIR DOLOMITI;EN8761;0;;"KTW"
2025-04-03;14:55;Warszawa;LOT;LO3884;0;;"KTW"
2025-04-03;15:30;Londyn - Stansted;RYANAIR;FR2472;0;;"KTW"
2025-04-03;16:15;Larnaka;WIZZ AIR;W61251;0;;"KTW"
2025-04-03;16:45;Hurghada;LOT;LO6677;0;;"KTW"
2025-04-03;18:20;Trapani;RYANAIR;FR3647;0;;"KTW"
2025-04-03;18:20;Warszawa;LOT;LO3886;0;;"KTW"
2025-04-03;18:20;Alicante;WIZZ AIR;W61075;0;;"KTW"
2025-04-04;03:20;Sharm El Sheikh;SKYUP EUROPE;U57343;0;;"KTW"
2025-04-04;04:00;Marsa Alam;ENTER AIR;ENT4099;0;;"KTW"
2025-04-04;04:00;Hurghada;SKYLINE EXPRESS AIRLINES;QU9123;0;;"KTW"
2025-04-04;04:50;Salala;ENTER AIR;ENT5007;0;;"KTW"
2025-04-04;05:40;Warszawa;LOT;LO3880;0;;"KTW"
2025-04-04;05:45;Mediolan - Bergamo;RYANAIR;FR3491;0;;"KTW"
2025-04-04;05:50;Dublin;RYANAIR;FR5347;0;;"KTW"
2025-04-04;06:00;Kutaisi;WIZZ AIR;W61281;0;;"KTW"
2025-04-04;09:45;Alghero;RYANAIR;FR4179;0;;"KTW"
2025-04-04;10:05;Frankfurt;LUFTHANSA;LH1385;0;;"KTW"
2025-04-04;10:50;Eindhoven;WIZZ AIR;W61071;0;;"KTW"
2025-04-04;10:55;Bari;RYANAIR;FR3942;0;;"KTW"
2025-04-04;11:25;Teneryfa;WIZZ AIR;W61081;0;;"KTW"
2025-04-04;11:55;Warszawa;LOT;LO3882;0;;"KTW"
2025-04-04;17:00;Londyn - Stansted;RYANAIR;FR2472;0;;"KTW"
2025-04-04;19:40;Londyn - Luton;WIZZ AIR;W61005;0;;"KTW"
2025-04-04;19:45;Mediolan - Bergamo;RYANAIR;FR3409;0;;"KTW"
2025-04-05;02:05;Sharm El Sheikh;ENTER AIR;ENT4003;0;;"KTW"
2025-04-05;02:10;Antalia;ENTER AIR;ENT4865;0;;"KTW"
2025-04-05;03:00;Marsa Alam;SMARTWINGS.;TVP7142;0;;"KTW"
2025-04-05;03:15;Hurghada;SKYLINE EXPRESS AIRLINES;QU9121;0;;"KTW"
2025-04-05;03:30;Antalia;ENTER AIR;ENT4113;0;;"KTW"
2025-04-05;03:50;Marsa Alam;ENTER AIR;ENT7823;0;;"KTW"
2025-04-05;04:20;Marsa Alam;ENTER AIR;ENT4091;0;;"KTW"
2025-04-05;05:40;Warszawa;LOT;LO3880;0;;"KTW"
2025-04-05;05:45;Ateny;RYANAIR;FR2615;0;;"KTW"
2025-04-05;05:50;Forli;RYANAIR;FR1036;0;;"KTW"
2025-04-05;06:00;Malaga;WIZZ AIR;W61073;0;;"KTW"
2025-04-05;06:05;Londyn - Luton;WIZZ AIR;W61001;0;;"KTW"
2025-04-05;09:55;Antalia;CORENDON AIRLINES;XC8168;0;;"KTW"
2025-04-05;10:00;Alghero;RYANAIR;FR4179;0;;"KTW"
2025-04-05;10:10;Frankfurt;LUFTHANSA;LH1385;0;;"KTW"
2025-04-05;10:50;Eindhoven;WIZZ AIR;W61071;0;;"KTW"
2025-04-05;11:35;Londyn - Stansted;RYANAIR;FR2472;0;;"KTW"
2025-04-05;11:55;Katania;RYANAIR;FR6373;0;;"KTW"
2025-04-05;17:15;Hurghada;NESMA AIRLINES;NE6302;0;;"KTW"
