Data;Czas;Kierunek;Przewoznik;Rejs;Status;;Lotnisko wylotowe
2025-04-17;02:05;Dubaj (DWC);Enter Air;ENT7013;0;;"POZ"
2025-04-17;02:10;Hurghada (HRG);Enter Air;ENT4323;0;;"POZ"
2025-04-17;05:40;Warszawa (WAW);PLL LOT;LO3942;0;;"POZ"
2025-04-17;05:45;Sztokholm (ARN);Ryanair;FR7679;0;;"POZ"
2025-04-17;05:50;Salala (SLL);Enter Air;ENT5001;0;;"POZ"
2025-04-17;06:00;Pafos (PFO);Ryanair;FR637;0;;"POZ"
2025-04-17;06:00;Bristol (BRS);Ryanair;FR7948;0;;"POZ"
2025-04-17;06:00;Kopenhaga (CPH);Ryanair;FR8522;0;;"POZ"
2025-04-17;06:00;Cork (ORK);Ryanair;FR7244;0;;"POZ"
2025-04-17;06:05;Monachium (MUC);Lufthansa;LH1641;0;;"POZ"
2025-04-17;06:10;Birmingham (BHX);Ryanair;FR5073;0;;"POZ"
2025-04-17;06:10;Antalya (AYT);Enter Air;ENT4821;0;;"POZ"
2025-04-17;06:15;Kopenhaga (CPH);SAS;SK2756;0;;"POZ"
2025-04-17;06:20;Mediolan - Bergamo (BGY);Ryanair;FR3868;0;;"POZ"
2025-04-17;06:25;Frankfurt (FRA);Lufthansa;LH1391;0;;"POZ"
2025-04-17;06:30;Amsterdam (AMS);KLM;KL1332;0;;"POZ"
2025-04-17;07:25;Praga (PRG);Ryanair;FR8520;0;;"POZ"
2025-04-17;07:45;Warszawa (WAW);PLL LOT;LO3952;0;;"POZ"
2025-04-17;07:55;Palermo (PMO);Ryanair;FR4373;0;;"POZ"
2025-04-17;08:15;Kutaisi (KUT);Wizz Air;W67942;0;;"POZ"
2025-04-17;08:35;Rzym - Ciampino (CIA);Ryanair;FR7171;0;;"POZ"
2025-04-17;08:55;Malta (MLA);Ryanair;FR5226;0;;"POZ"
2025-04-17;09:20;Londyn - Stansted (STN);Ryanair;FR1751;0;;"POZ"
2025-04-17;09:30;Saloniki (SKG);Ryanair;FR2552;0;;"POZ"
2025-04-17;09:30;Hurghada (HRG);Air Cairo;SM3614;0;;"POZ"
2025-04-17;10:30;Frankfurt (FRA);Lufthansa;LH1387;0;;"POZ"
2025-04-17;10:50;Edynburg (EDI);Ryanair;FR6619;0;;"POZ"
2025-04-17;11:15;Bruksela - Charleroi (CRL);Ryanair;FR5000;0;;"POZ"
2025-04-17;11:25;Londyn - Luton (LTN);Wizz Air;W95390;0;;"POZ"
2025-04-17;11:30;Oslo - Torp (TRF);Ryanair;FR1764;0;;"POZ"
2025-04-17;11:35;Hurghada (HRG);Corendon;XR508;0;;"POZ"
2025-04-17;12:00;Warszawa (WAW);PLL LOT;LO3946;0;;"POZ"
2025-04-17;12:35;Palma De Mallorca (PMI);Ryanair;FR955;0;;"POZ"
2025-04-17;13:00;Teneryfa (TFS);Enter Air;ENT7021;0;;"POZ"
2025-04-17;13:05;Alicante (ALC);Ryanair;FR2544;0;;"POZ"
2025-04-17;13:15;Antalya (AYT);Mavi Gök Airlines;4M876;0;;"POZ"
2025-04-17;13:25;Monachium (MUC);Lufthansa;LH1637;0;;"POZ"
2025-04-17;14:05;Dubaj (DXB);flydubai;FZ704;0;;"POZ"
2025-04-17;14:10;Zadar (ZAD);Ryanair;FR7246;0;;"POZ"
2025-04-17;14:15;Amsterdam (AMS);KLM;KL1334;0;;"POZ"
2025-04-17;14:20;Rodos (RHO);Enter Air;ENT7049;0;;"POZ"
2025-04-17;14:35;Kopenhaga (CPH);SAS;SK1756;0;;"POZ"
2025-04-17;14:45;Frankfurt (FRA);Lufthansa;LH1389;0;;"POZ"
2025-04-17;14:50;Warszawa (WAW);PLL LOT;LO3944;0;;"POZ"
2025-04-17;15:20;Walencja (VLC);Ryanair;FR4741;0;;"POZ"
2025-04-17;15:20;Sharm el Sheikh (SSH);SkyUp MT;U57335;0;;"POZ"
2025-04-17;15:25;Paryż - Beauvais (BVA);Ryanair;FR5050;0;;"POZ"
2025-04-17;15:40;Hurghada (HRG);SkyLine Express;QU7421;0;;"POZ"
2025-04-17;15:50;Barcelona - Girona (GRO);Ryanair;FR5123;0;;"POZ"
2025-04-17;16:05;Mediolan - Bergamo (BGY);Ryanair;FR3594;0;;"POZ"
2025-04-17;16:40;Agadir (AGA);Enter Air;ENT1915;0;;"POZ"
2025-04-17;16:40;Liverpool (LPL);Ryanair;FR7425;0;;"POZ"
2025-04-17;17:35;Wenecja - Treviso (TSF);Ryanair;FR7508;0;;"POZ"
2025-04-17;18:10;Dubrownik (DBV);Ryanair;FR5923;0;;"POZ"
2025-04-17;18:20;Warszawa (WAW);PLL LOT;LO3948;0;;"POZ"
2025-04-17;18:30;Dublin (DUB);Ryanair;FR1975;0;;"POZ"
2025-04-17;20:15;Bari (BRI);Ryanair;FR1217;0;;"POZ"
2025-04-17;20:25;Cagliari (CAG);Ryanair;FR7220;0;;"POZ"
2025-04-17;20:30;Londyn - Stansted (STN);Ryanair;FR2337;0;;"POZ"
2025-04-17;21:05;Malaga (AGP);Ryanair;FR6215;0;;"POZ"
2025-04-17;22:40;Rzym - Fiumicino (FCO);Wizz Air;W46192;0;;"POZ"
2025-04-18;02:05;Dubaj (DWC);Enter Air;ENT7013;0;;"POZ"
2025-04-18;03:30;Antalya (AYT);Enter Air;ENT4337;0;;"POZ"
2025-04-18;05:40;Warszawa (WAW);PLL LOT;LO3942;0;;"POZ"
2025-04-18;05:45;Dublin (DUB);Ryanair;FR1975;0;;"POZ"
2025-04-18;05:45;Sztokholm (ARN);Ryanair;FR7679;0;;"POZ"
2025-04-18;05:45;Oslo - Torp (TRF);Ryanair;FR1764;0;;"POZ"
2025-04-18;05:50;Salala (SLL);Enter Air;ENT5001;0;;"POZ"
