Data;Czas;Kierunek;Przewoznik;Rejs;Status;;Lotnisko wylotowe
2025-04-04;08:48;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-04;13:45;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-04;16:42;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-04;17:30;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-04;21:20;WARSZAWA;;LO3936;0;;"SZZ"
2025-04-04;23:44;DUBLIN;;FR3096;0;;"SZZ"
2025-04-04;23:51;KRAKOW;;FR6231;0;;"SZZ"
2025-04-05;08:48;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-05;09:23;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-05;10:04;OSLO TORP;;W6 2151;0;;"SZZ"
2025-04-06;08:41;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-06;16:35;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-06;16:44;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-06;23:46;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-07;09:50;KRAKOW;;FR6231;0;;"SZZ"
2025-04-07;12:31;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-07;15:11;LONDYN STANSTED;;FR2550;0;;"SZZ"
2025-04-07;16:39;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-07;23:41;DUBLIN;;FR3096;0;;"SZZ"
2025-04-08;08:51;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-08;10:12;OSLO TORP;;W6 2151;0;;"SZZ"
2025-04-08;13:35;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-08;15:12;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-08;16:40;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-09;08:48;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-09;14:25;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-09;16:10;LONDYN STANSTED;;FR9083;0;;"SZZ"
2025-04-09;16:47;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-09;18:10;KRAKOW;;FR6231;0;;"SZZ"
2025-04-10;00:10;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-10;09:06;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-10;13:39;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-10;16:45;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-10;17:30;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-10;21:20;WARSZAWA;;LO3936;0;;"SZZ"
2025-04-11;00:13;DUBLIN;;FR3096;0;;"SZZ"
2025-04-11;00:13;KRAKOW;;FR6231;0;;"SZZ"
2025-04-11;08:50;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-11;09:22;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-11;10:12;OSLO TORP;;W6 2151;0;;"SZZ"
2025-04-11;13:41;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-11;15:27;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-12;08:57;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-12;16:25;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-12;16:42;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-12;23:31;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-13;09:40;KRAKOW;;FR6231;0;;"SZZ"
2025-04-13;12:20;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-13;14:45;LONDYN STANSTED;;FR2550;0;;"SZZ"
2025-04-13;16:40;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-13;23:33;DUBLIN;;FR3096;0;;"SZZ"
2025-04-14;08:48;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-14;10:07;OSLO TORP;;W6 2151;0;;"SZZ"
2025-04-14;13:55;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-14;14:55;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-14;16:52;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-15;08:49;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-15;13:45;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-15;16:10;LONDYN STANSTED;;FR9083;0;;"SZZ"
2025-04-15;16:40;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-15;18:10;KRAKOW;;FR6231;0;;"SZZ"
2025-04-16;00:05;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-16;08:50;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-16;13:45;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-16;15:25;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-16;16:40;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-17;00:02;DUBLIN;;FR3096;0;;"SZZ"
2025-04-17;00:10;KRAKOW;;FR6231;0;;"SZZ"
2025-04-17;08:50;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-17;09:10;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-17;10:05;OSLO TORP;;W6 2151;0;;"SZZ"
2025-04-17;13:45;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-17;16:40;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-17;17:30;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-17;21:20;WARSZAWA;;LO3936;0;;"SZZ"
2025-04-18;00:02;DUBLIN;;FR3096;0;;"SZZ"
2025-04-18;00:10;KRAKOW;;FR6231;0;;"SZZ"
2025-04-18;08:50;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-18;09:10;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-18;10:05;OSLO TORP;;W6 2151;0;;"SZZ"
2025-04-18;13:45;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-18;14:55;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-18;16:40;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-19;08:50;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-19;09:40;KRAKOW;;FR6231;0;;"SZZ"
2025-04-19;12:20;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-19;14:45;LONDYN STANSTED;;FR2550;0;;"SZZ"
2025-04-19;16:25;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-19;16:40;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-19;23:25;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-20;00:03;LONDYN STANSTED;;FR2467;0;;"SZZ"
2025-04-20;09:40;KRAKOW;;FR6231;0;;"SZZ"
2025-04-20;12:20;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-20;14:45;LONDYN STANSTED;;FR2550;0;;"SZZ"
2025-04-20;16:40;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-20;23:26;DUBLIN;;FR3096;0;;"SZZ"
2025-04-21;08:50;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-21;10:05;OSLO TORP;;W6 2151;0;;"SZZ"
2025-04-21;13:45;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-21;14:55;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-21;16:10;LONDYN STANSTED;;FR9083;0;;"SZZ"
2025-04-21;16:40;WARSZAWA;;LO3938;0;;"SZZ"
2025-04-21;18:10;KRAKOW;;FR6231;0;;"SZZ"
2025-04-21;23:26;DUBLIN;;FR3096;0;;"SZZ"
2025-04-22;08:50;WARSZAWA;;LO3932;0;;"SZZ"
2025-04-22;10:05;OSLO TORP;;W6 2151;0;;"SZZ"
2025-04-22;13:45;WARSZAWA;;LO3934;0;;"SZZ"
2025-04-22;14:55;LIVERPOOL;;FR9677;0;;"SZZ"
2025-04-22;16:10;LONDYN STANSTED;;FR9083;0;;"SZZ"
2025-04-22;16:40;WARSZAWA;;LO3938;0;;"SZZ"
